inner_id,num_rating,avg_rating,gender,beta,access_type,access
2308,173,3.514450867052023,F,2.0,baseline,26.400000000000002
2343,188,3.4414893617021276,M,2.0,baseline,26.400000000000002
2356,29,3.9310344827586206,F,2.0,baseline,11.4
2364,47,4.191489361702128,M,2.0,baseline,26.200000000000003
2427,83,3.674698795180723,M,2.0,baseline,2.0
2444,244,3.5368852459016393,M,2.0,baseline,26.200000000000003
2481,38,3.5,F,2.0,baseline,3.4000000000000004
2545,118,3.3220338983050848,F,2.0,baseline,3.4000000000000004
2562,27,2.962962962962963,M,2.0,baseline,29.4
2676,38,3.710526315789474,F,2.0,baseline,7.199999999999999
2703,48,4.041666666666667,M,2.0,baseline,33.6
2710,38,2.5,F,2.0,baseline,29.599999999999998
2724,35,3.6285714285714286,M,2.0,baseline,23.0
2743,138,1.3043478260869565,M,2.0,baseline,9.4
2750,178,3.4269662921348316,F,2.0,baseline,23.599999999999998
2765,102,4.137254901960785,M,2.0,baseline,21.2
2771,178,3.6741573033707864,M,2.0,baseline,28.199999999999996
2776,875,3.498285714285714,M,2.0,baseline,36.4
2803,171,3.888888888888889,F,2.0,baseline,28.799999999999997
2850,33,3.5757575757575757,F,2.0,baseline,22.6
2902,146,4.089041095890411,M,2.0,baseline,33.6
2971,169,3.497041420118343,M,2.0,baseline,25.2
2982,55,4.363636363636363,M,2.0,baseline,24.8
3012,467,3.4539614561027836,M,2.0,baseline,28.4
3034,80,3.8125,F,2.0,baseline,17.4
3037,118,4.0423728813559325,F,2.0,baseline,25.4
3067,21,3.761904761904762,F,2.0,baseline,6.800000000000001
3078,86,3.883720930232558,F,2.0,baseline,27.200000000000003
3109,300,3.6033333333333335,M,2.0,baseline,29.4
3112,50,3.68,M,2.0,baseline,0.6
3160,71,4.140845070422535,M,2.0,baseline,25.0
3172,95,4.168421052631579,M,2.0,baseline,23.0
3247,84,3.5476190476190474,F,2.0,baseline,19.400000000000002
3290,20,3.75,F,2.0,baseline,23.400000000000002
3307,708,3.189265536723164,F,2.0,baseline,16.6
3412,127,4.110236220472441,F,2.0,baseline,28.4
3432,88,3.022727272727273,M,2.0,baseline,22.0
3458,29,3.793103448275862,M,2.0,baseline,21.6
3460,37,4.702702702702703,M,2.0,baseline,30.4
3465,37,4.162162162162162,M,2.0,baseline,23.0
3568,437,2.9016018306636155,F,2.0,baseline,23.200000000000003
3585,163,3.361963190184049,M,2.0,baseline,7.3999999999999995
3620,379,3.113456464379947,M,2.0,baseline,25.8
3624,202,3.282178217821782,M,2.0,baseline,26.0
3651,289,3.4290657439446366,M,2.0,baseline,32.800000000000004
3689,401,2.9301745635910224,M,2.0,baseline,34.599999999999994
3695,150,3.94,M,2.0,baseline,29.4
3705,78,4.115384615384615,M,2.0,baseline,16.2
3735,125,3.568,M,2.0,baseline,33.800000000000004
3774,93,3.806451612903226,M,2.0,baseline,28.999999999999996
3785,63,4.031746031746032,F,2.0,baseline,27.400000000000002
3832,312,3.6698717948717947,M,2.0,baseline,28.999999999999996
3888,133,4.293233082706767,M,2.0,baseline,29.4
3939,492,3.680894308943089,M,2.0,baseline,25.4
3952,234,3.6153846153846154,M,2.0,baseline,34.599999999999994
3966,446,2.7219730941704037,F,2.0,baseline,33.4
3968,20,3.5,M,2.0,baseline,17.8
4064,21,4.190476190476191,F,2.0,baseline,12.0
4135,39,4.512820512820513,M,2.0,baseline,30.8
4185,640,2.8328125,M,2.0,baseline,29.599999999999998
4252,338,3.4171597633136095,M,2.0,baseline,30.0
4253,24,4.416666666666667,M,2.0,baseline,29.4
4315,39,3.4871794871794872,M,2.0,baseline,13.0
4319,81,4.2592592592592595,M,2.0,baseline,29.2
4354,51,3.4901960784313726,M,2.0,baseline,21.8
4356,43,4.209302325581396,F,2.0,baseline,21.6
4416,110,3.7181818181818183,M,2.0,baseline,28.799999999999997
4422,42,4.214285714285714,M,2.0,baseline,30.599999999999998
4447,1014,4.176528599605523,M,2.0,baseline,34.599999999999994
4582,27,3.6666666666666665,M,2.0,baseline,2.6
4613,21,3.9523809523809526,F,2.0,baseline,28.599999999999998
4632,81,3.9753086419753085,M,2.0,baseline,1.2
4637,37,2.891891891891892,M,2.0,baseline,3.4000000000000004
4706,41,3.292682926829268,M,2.0,baseline,2.8000000000000003
4742,30,4.1,M,2.0,baseline,21.4
4769,33,3.6666666666666665,F,2.0,baseline,23.799999999999997
4787,303,3.363036303630363,M,2.0,baseline,36.199999999999996
4796,57,4.017543859649122,F,2.0,baseline,16.400000000000002
4801,640,4.0703125,M,2.0,baseline,30.599999999999998
4838,23,3.0434782608695654,F,2.0,baseline,1.7999999999999998
4944,144,3.8125,M,2.0,baseline,34.8
4984,152,3.7960526315789473,M,2.0,baseline,37.0
5016,39,4.128205128205129,M,2.0,baseline,30.8
5020,185,3.3675675675675674,M,2.0,baseline,26.0
5030,61,4.131147540983607,F,2.0,baseline,23.200000000000003
5074,58,4.258620689655173,M,2.0,baseline,16.400000000000002
5086,296,3.5135135135135136,F,2.0,baseline,32.0
5091,71,4.056338028169014,M,2.0,baseline,30.8
5112,546,2.542124542124542,M,2.0,baseline,28.4
5180,52,3.9615384615384617,M,2.0,baseline,21.4
5186,118,3.542372881355932,M,2.0,baseline,0.6
5214,20,4.4,F,2.0,baseline,26.6
5344,333,3.6426426426426426,F,2.0,baseline,27.0
5402,162,3.5,M,2.0,baseline,20.599999999999998
5438,22,3.590909090909091,M,2.0,baseline,22.0
5452,247,3.639676113360324,M,2.0,baseline,30.8
5583,76,3.5657894736842106,F,2.0,baseline,0.6
5694,31,3.225806451612903,F,2.0,baseline,32.800000000000004
5725,148,3.8175675675675675,M,2.0,baseline,29.2
5753,353,3.1133144475920678,F,2.0,baseline,34.599999999999994
5769,139,4.345323741007194,M,2.0,baseline,30.8
5781,114,3.6491228070175437,F,2.0,baseline,29.4
5807,67,4.298507462686567,F,2.0,baseline,29.599999999999998
5836,534,3.8951310861423223,M,2.0,baseline,35.4
5845,62,4.161290322580645,M,2.0,baseline,30.4
5887,617,3.1831442463533226,M,2.0,baseline,24.0
5937,190,3.9105263157894736,M,2.0,baseline,26.6
5998,27,4.111111111111111,F,2.0,baseline,23.799999999999997
29,43,3.488372093023256,F,2.0,max,68.0
34,198,3.54040404040404,M,2.0,max,64.2
43,193,3.6321243523316062,M,2.0,max,71.6
45,41,4.219512195121951,M,2.0,max,8.0
171,23,3.608695652173913,M,2.0,max,68.4
231,90,3.566666666666667,M,2.0,max,59.0
362,43,3.744186046511628,M,2.0,max,50.8
405,147,3.306122448979592,M,2.0,max,76.8
423,1226,3.735725938009788,M,2.0,max,80.2
490,25,3.68,M,2.0,max,23.200000000000003
568,125,3.52,F,2.0,max,68.2
616,23,4.086956521739131,F,2.0,max,71.39999999999999
638,400,3.705,M,2.0,max,88.2
693,40,3.625,M,2.0,max,59.8
732,117,4.05982905982906,M,2.0,max,85.2
743,297,3.3703703703703702,M,2.0,max,68.8
777,163,3.785276073619632,M,2.0,max,79.4
796,83,4.036144578313253,F,2.0,max,70.19999999999999
809,126,3.8174603174603177,M,2.0,max,70.0
821,292,3.7226027397260273,F,2.0,max,72.8
826,22,3.9545454545454546,M,2.0,max,45.0
850,76,3.5921052631578947,M,2.0,max,80.80000000000001
882,36,3.4166666666666665,F,2.0,max,28.199999999999996
884,64,4.140625,M,2.0,max,82.39999999999999
918,326,3.9355828220858897,F,2.0,max,84.6
952,189,4.6878306878306875,M,2.0,max,81.2
986,176,4.017045454545454,F,2.0,max,78.8
1051,67,4.343283582089552,F,2.0,max,56.599999999999994
1133,150,4.42,M,2.0,max,67.60000000000001
1168,118,2.7711864406779663,M,2.0,max,51.800000000000004
1235,24,3.375,F,2.0,max,81.0
1244,36,4.333333333333333,M,2.0,max,85.8
1312,29,3.6551724137931036,M,2.0,max,56.39999999999999
1315,38,3.236842105263158,M,2.0,max,46.800000000000004
1321,384,4.1171875,M,2.0,max,86.4
1324,282,3.9858156028368796,M,2.0,max,76.2
1332,557,3.6965888689407542,M,2.0,max,73.0
1340,87,2.3793103448275863,M,2.0,max,8.0
1344,189,3.7195767195767195,F,2.0,max,62.8
1371,53,3.0,M,2.0,max,55.800000000000004
1445,97,4.453608247422681,M,2.0,max,70.39999999999999
1446,990,3.2383838383838386,M,2.0,max,79.0
1473,130,3.7846153846153845,M,2.0,max,58.199999999999996
1479,43,3.395348837209302,M,2.0,max,69.19999999999999
1503,42,3.642857142857143,M,2.0,max,66.60000000000001
1512,143,4.055944055944056,F,2.0,max,81.0
1522,92,3.717391304347826,M,2.0,max,73.4
1590,314,4.340764331210191,M,2.0,max,81.8
1607,144,2.0833333333333335,M,2.0,max,52.0
1619,36,3.9444444444444446,M,2.0,max,68.2
1716,424,3.8160377358490565,F,2.0,max,60.8
1734,77,3.2337662337662336,M,2.0,max,71.6
1747,589,3.4906621392190154,M,2.0,max,81.6
1762,26,3.769230769230769,M,2.0,max,83.6
1763,613,4.091353996737357,M,2.0,max,89.4
1825,57,3.5964912280701755,M,2.0,max,65.2
1919,601,3.3860232945091515,F,2.0,max,72.6
1948,102,4.176470588235294,M,2.0,max,82.6
1966,24,3.5416666666666665,M,2.0,max,33.6
1994,86,3.895348837209302,M,2.0,max,75.6
2052,25,3.4,M,2.0,max,56.39999999999999
2058,253,3.549407114624506,M,2.0,max,50.4
2080,49,3.122448979591837,M,2.0,max,72.39999999999999
2206,21,4.238095238095238,M,2.0,max,59.599999999999994
2239,99,4.282828282828283,M,2.0,max,75.4
2240,128,4.25,M,2.0,max,85.8
2250,413,3.6610169491525424,M,2.0,max,88.4
2257,358,3.446927374301676,F,2.0,max,90.0
2308,173,3.514450867052023,F,2.0,max,69.19999999999999
2343,188,3.4414893617021276,M,2.0,max,78.4
2356,29,3.9310344827586206,F,2.0,max,53.6
2364,47,4.191489361702128,M,2.0,max,77.2
2427,83,3.674698795180723,M,2.0,max,24.4
2444,244,3.5368852459016393,M,2.0,max,68.8
2481,38,3.5,F,2.0,max,47.4
2545,118,3.3220338983050848,F,2.0,max,63.2
2562,27,2.962962962962963,M,2.0,max,79.0
2676,38,3.710526315789474,F,2.0,max,56.39999999999999
2703,48,4.041666666666667,M,2.0,max,86.2
2710,38,2.5,F,2.0,max,83.6
2724,35,3.6285714285714286,M,2.0,max,57.99999999999999
2743,138,1.3043478260869565,M,2.0,max,56.39999999999999
2750,178,3.4269662921348316,F,2.0,max,82.39999999999999
2765,102,4.137254901960785,M,2.0,max,67.0
2771,178,3.6741573033707864,M,2.0,max,82.8
2776,875,3.498285714285714,M,2.0,max,83.8
2803,171,3.888888888888889,F,2.0,max,75.0
2850,33,3.5757575757575757,F,2.0,max,51.0
2902,146,4.089041095890411,M,2.0,max,80.4
2971,169,3.497041420118343,M,2.0,max,65.8
2982,55,4.363636363636363,M,2.0,max,69.0
3012,467,3.4539614561027836,M,2.0,max,81.6
3034,80,3.8125,F,2.0,max,67.80000000000001
3037,118,4.0423728813559325,F,2.0,max,59.4
3067,21,3.761904761904762,F,2.0,max,39.0
3078,86,3.883720930232558,F,2.0,max,59.0
3109,300,3.6033333333333335,M,2.0,max,77.0
3112,50,3.68,M,2.0,max,22.6
3160,71,4.140845070422535,M,2.0,max,66.8
3172,95,4.168421052631579,M,2.0,max,61.199999999999996
3247,84,3.5476190476190474,F,2.0,max,50.6
3290,20,3.75,F,2.0,max,44.2
3307,708,3.189265536723164,F,2.0,max,59.0
3412,127,4.110236220472441,F,2.0,max,68.0
3432,88,3.022727272727273,M,2.0,max,62.0
3458,29,3.793103448275862,M,2.0,max,55.60000000000001
3460,37,4.702702702702703,M,2.0,max,87.6
3465,37,4.162162162162162,M,2.0,max,63.6
3568,437,2.9016018306636155,F,2.0,max,74.0
3585,163,3.361963190184049,M,2.0,max,38.2
3620,379,3.113456464379947,M,2.0,max,57.599999999999994
3624,202,3.282178217821782,M,2.0,max,70.39999999999999
3651,289,3.4290657439446366,M,2.0,max,80.2
3689,401,2.9301745635910224,M,2.0,max,85.6
3695,150,3.94,M,2.0,max,76.4
3705,78,4.115384615384615,M,2.0,max,50.8
3735,125,3.568,M,2.0,max,74.2
3774,93,3.806451612903226,M,2.0,max,75.4
3785,63,4.031746031746032,F,2.0,max,62.0
3832,312,3.6698717948717947,M,2.0,max,75.0
3888,133,4.293233082706767,M,2.0,max,82.6
3939,492,3.680894308943089,M,2.0,max,77.2
3952,234,3.6153846153846154,M,2.0,max,83.8
3966,446,2.7219730941704037,F,2.0,max,90.2
3968,20,3.5,M,2.0,max,54.400000000000006
4064,21,4.190476190476191,F,2.0,max,53.400000000000006
4135,39,4.512820512820513,M,2.0,max,80.2
4185,640,2.8328125,M,2.0,max,68.2
4252,338,3.4171597633136095,M,2.0,max,79.2
4253,24,4.416666666666667,M,2.0,max,72.2
4315,39,3.4871794871794872,M,2.0,max,53.6
4319,81,4.2592592592592595,M,2.0,max,84.6
4354,51,3.4901960784313726,M,2.0,max,64.4
4356,43,4.209302325581396,F,2.0,max,63.0
4416,110,3.7181818181818183,M,2.0,max,68.0
4422,42,4.214285714285714,M,2.0,max,76.2
4447,1014,4.176528599605523,M,2.0,max,87.6
4582,27,3.6666666666666665,M,2.0,max,34.8
4613,21,3.9523809523809526,F,2.0,max,52.800000000000004
4632,81,3.9753086419753085,M,2.0,max,12.0
4637,37,2.891891891891892,M,2.0,max,23.200000000000003
4706,41,3.292682926829268,M,2.0,max,24.4
4742,30,4.1,M,2.0,max,53.400000000000006
4769,33,3.6666666666666665,F,2.0,max,62.6
4787,303,3.363036303630363,M,2.0,max,81.2
4796,57,4.017543859649122,F,2.0,max,52.6
4801,640,4.0703125,M,2.0,max,74.0
4838,23,3.0434782608695654,F,2.0,max,15.6
4944,144,3.8125,M,2.0,max,87.7755511022044
4984,152,3.7960526315789473,M,2.0,max,86.2
5016,39,4.128205128205129,M,2.0,max,69.8
5020,185,3.3675675675675674,M,2.0,max,55.800000000000004
5030,61,4.131147540983607,F,2.0,max,66.4
5074,58,4.258620689655173,M,2.0,max,51.2
5086,296,3.5135135135135136,F,2.0,max,79.80000000000001
5091,71,4.056338028169014,M,2.0,max,74.2
5112,546,2.542124542124542,M,2.0,max,62.2
5180,52,3.9615384615384617,M,2.0,max,76.4
5186,118,3.542372881355932,M,2.0,max,27.6
5214,20,4.4,F,2.0,max,63.0
5344,333,3.6426426426426426,F,2.0,max,62.8
5402,162,3.5,M,2.0,max,64.8
5438,22,3.590909090909091,M,2.0,max,44.800000000000004
5452,247,3.639676113360324,M,2.0,max,79.4
5583,76,3.5657894736842106,F,2.0,max,14.2
5694,31,3.225806451612903,F,2.0,max,75.2
5725,148,3.8175675675675675,M,2.0,max,73.8
5753,353,3.1133144475920678,F,2.0,max,79.0
5769,139,4.345323741007194,M,2.0,max,85.6
5781,114,3.6491228070175437,F,2.0,max,71.8
5807,67,4.298507462686567,F,2.0,max,76.0
5836,534,3.8951310861423223,M,2.0,max,80.80000000000001
5845,62,4.161290322580645,M,2.0,max,74.0
5887,617,3.1831442463533226,M,2.0,max,54.0
5937,190,3.9105263157894736,M,2.0,max,68.2
5998,27,4.111111111111111,F,2.0,max,50.8
0,53,4.188679245283019,F,,data,1.430113329735564
1,129,3.7131782945736433,M,,data,3.4808418780356174
2,51,3.9019607843137254,M,,data,1.3761467889908259
3,21,4.190476190476191,M,,data,0.5666486778197518
4,198,3.1464646464646466,M,,data,5.342687533729088
5,71,3.9014084507042255,F,,data,1.9158121964382084
6,31,4.32258064516129,M,,data,0.8364813815434431
7,139,3.884892086330935,M,,data,3.7506745817593092
8,106,3.7358490566037736,M,,data,2.860226659471128
9,401,4.114713216957606,F,,data,10.820291419320021
10,137,3.2773722627737225,F,,data,3.696708041014571
11,23,3.8260869565217392,M,,data,0.62061521856449
12,108,3.388888888888889,M,,data,2.914193200215866
13,25,3.32,M,,data,0.6745817593092283
14,201,3.3233830845771144,M,,data,5.423637344846195
15,35,3.0285714285714285,F,,data,0.9444144630329196
16,211,4.075829383886256,M,,data,5.693470048569886
17,305,3.6491803278688524,F,,data,8.229897463572584
18,255,3.5725490196078433,M,,data,6.8807339449541285
19,24,4.083333333333333,M,,data,0.6475984889368591
20,22,2.909090909090909,M,,data,0.5936319481921208
21,297,3.0673400673400675,M,,data,8.014031300593633
22,304,3.3157894736842106,M,,data,8.202914193200215
23,136,3.948529411764706,F,,data,3.669724770642202
24,85,3.7411764705882353,M,,data,2.293577981651376
25,400,2.96,M,,data,10.793308148947652
26,70,4.171428571428572,M,,data,1.8888289260658393
27,107,3.7570093457943927,F,,data,2.887209929843497
28,108,3.5833333333333335,M,,data,2.914193200215866
29,43,3.488372093023256,F,,data,1.1602806260118728
30,119,3.73109243697479,M,,data,3.211009174311927
31,48,3.625,F,,data,1.2951969778737182
32,391,3.498721227621483,M,,data,10.550458715596331
33,164,3.8658536585365852,F,,data,4.425256341068538
34,198,3.54040404040404,M,,data,5.342687533729088
35,351,4.199430199430199,M,,data,9.471127900701564
36,53,3.69811320754717,F,,data,1.430113329735564
37,100,3.58,F,,data,2.698327037236913
38,62,3.564516129032258,M,,data,1.6729627630868862
39,96,3.4479166666666665,M,,data,2.5903939557474365
40,25,3.48,F,,data,0.6745817593092283
41,231,3.74025974025974,M,,data,6.233135456017269
42,24,4.125,M,,data,0.6475984889368591
43,193,3.6321243523316062,M,,data,5.207771181867242
44,297,2.946127946127946,F,,data,8.014031300593633
45,41,4.219512195121951,M,,data,1.1063140852671345
46,22,3.909090909090909,M,,data,0.5936319481921208
47,598,3.068561872909699,M,,data,16.13599568267674
48,108,3.712962962962963,M,,data,2.914193200215866
49,43,3.0697674418604652,F,,data,1.1602806260118728
50,40,3.825,F,,data,1.0793308148947653
51,79,3.5569620253164556,M,,data,2.1316783594171613
52,684,4.2368421052631575,M,,data,18.456556934700487
53,40,4.025,M,,data,1.0793308148947653
54,25,4.12,F,,data,0.6745817593092283
55,67,3.970149253731343,M,,data,1.8078791149487319
56,64,2.90625,M,,data,1.7269293038316245
57,437,3.9725400457665905,M,,data,11.79168915272531
58,213,3.4741784037558685,F,,data,5.747436589314625
59,70,3.414285714285714,M,,data,1.8888289260658393
60,36,2.7777777777777777,M,,data,0.9713977334052887
61,498,3.566265060240964,F,,data,13.437668645439826
62,98,3.4285714285714284,M,,data,2.6443604964921748
63,27,4.148148148148148,M,,data,0.7285483000539665
64,121,4.347107438016529,M,,data,3.264975715056665
65,26,3.8461538461538463,M,,data,0.7015650296815974
66,64,4.296875,F,,data,1.7269293038316245
67,72,3.75,M,,data,1.9427954668105774
68,65,4.153846153846154,F,,data,1.7539125742039936
69,54,3.7037037037037037,M,,data,1.457096600107933
70,29,3.7586206896551726,M,,data,0.7825148407987047
71,43,3.697674418604651,F,,data,1.1602806260118728
72,255,3.364705882352941,M,,data,6.8807339449541285
73,43,4.046511627906977,M,,data,1.1602806260118728
74,175,4.005714285714285,F,,data,4.722072315164598
75,87,4.172413793103448,M,,data,2.3475445223961144
76,39,2.948717948717949,M,,data,1.0523475445223962
77,140,3.657142857142857,F,,data,3.7776578521316786
78,31,3.6451612903225805,F,,data,0.8364813815434431
79,48,3.8958333333333335,M,,data,1.2951969778737182
80,86,4.4186046511627906,F,,data,2.3205612520237455
81,118,4.016949152542373,M,,data,3.184025903939557
82,99,3.5757575757575757,F,,data,2.671343766864544
83,31,3.838709677419355,M,,data,0.8364813815434431
84,39,3.1025641025641026,M,,data,1.0523475445223962
85,48,4.3125,F,,data,1.2951969778737182
86,59,2.8135593220338984,M,,data,1.5920129519697785
87,68,4.147058823529412,F,,data,1.834862385321101
88,21,3.238095238095238,F,,data,0.5666486778197518
89,225,3.511111111111111,M,,data,6.071235833783054
90,44,4.704545454545454,M,,data,1.1872638963842417
91,430,2.7581395348837208,F,,data,11.602806260118728
92,220,2.9727272727272727,M,,data,5.936319481921209
93,21,3.857142857142857,M,,data,0.5666486778197518
94,99,3.595959595959596,M,,data,2.671343766864544
95,81,3.6049382716049383,F,,data,2.1856449001618996
96,154,4.474025974025974,F,,data,4.155423637344846
97,20,3.8,F,,data,0.5396654074473827
98,107,3.2149532710280373,F,,data,2.887209929843497
99,76,3.026315789473684,M,,data,2.0507285483000537
100,106,4.679245283018868,F,,data,2.860226659471128
101,132,3.128787878787879,M,,data,3.5617916891527255
102,115,4.052173913043478,M,,data,3.1030760928224503
103,46,3.347826086956522,M,,data,1.24123043712898
104,61,4.295081967213115,M,,data,1.645979492714517
105,47,4.0212765957446805,F,,data,1.268213707501349
106,121,3.743801652892562,M,,data,3.264975715056665
107,37,3.135135135135135,M,,data,0.9983810037776578
108,81,4.0,M,,data,2.1856449001618996
109,80,3.25,M,,data,2.1586616297895307
110,92,3.7282608695652173,M,,data,2.48246087425796
111,60,4.183333333333334,M,,data,1.618996222342148
112,68,3.5,M,,data,1.834862385321101
113,98,3.693877551020408,F,,data,2.6443604964921748
114,38,3.8421052631578947,M,,data,1.0253642741500268
115,86,3.802325581395349,M,,data,2.3205612520237455
116,505,3.299009900990099,M,,data,13.62655153804641
117,224,3.767857142857143,M,,data,6.044252563410685
118,105,3.5428571428571427,F,,data,2.8332433890987585
119,63,3.619047619047619,M,,data,1.6999460334592553
120,72,4.416666666666667,M,,data,1.9427954668105774
121,57,2.9649122807017543,F,,data,1.5380464112250405
122,608,3.401315789473684,M,,data,16.40582838640043
123,23,4.173913043478261,M,,data,0.62061521856449
124,71,4.098591549295775,M,,data,1.9158121964382084
125,51,4.0,M,,data,1.3761467889908259
126,174,3.8448275862068964,F,,data,4.695089044792229
127,22,4.363636363636363,M,,data,0.5936319481921208
128,158,4.025316455696203,M,,data,4.263356718834323
129,135,4.311111111111111,M,,data,3.6427415002698327
130,295,3.3966101694915256,M,,data,7.960064759848893
131,89,3.966292134831461,M,,data,2.4015110631408527
132,170,3.7705882352941176,F,,data,4.587155963302752
133,183,2.7158469945355193,M,,data,4.937938478143551
134,70,3.657142857142857,M,,data,1.8888289260658393
135,378,3.074074074074074,M,,data,10.199676200755531
136,201,3.611940298507463,F,,data,5.423637344846195
137,65,4.492307692307692,M,,data,1.7539125742039936
138,245,3.8816326530612244,F,,data,6.610901241230437
139,55,3.8181818181818183,F,,data,1.4840798704803022
140,23,3.6956521739130435,M,,data,0.62061521856449
141,47,3.3404255319148937,M,,data,1.268213707501349
142,68,3.5441176470588234,M,,data,1.834862385321101
143,32,3.46875,M,,data,0.8634646519158122
144,39,3.0,M,,data,1.0523475445223962
145,426,3.7699530516431925,F,,data,11.49487317862925
146,187,3.5026737967914436,M,,data,5.045871559633028
147,624,3.733974358974359,M,,data,16.83756071235834
148,592,3.9408783783783785,M,,data,15.974096060442525
149,232,4.021551724137931,M,,data,6.260118726389638
150,471,3.653927813163482,F,,data,12.70912034538586
151,24,4.125,M,,data,0.6475984889368591
152,26,4.076923076923077,M,,data,0.7015650296815974
153,44,3.090909090909091,M,,data,1.1872638963842417
154,96,2.96875,M,,data,2.5903939557474365
155,148,4.236486486486487,F,,data,3.9935240151106313
156,427,3.718969555035129,M,,data,11.52185644900162
157,22,4.0,M,,data,0.5936319481921208
158,36,3.7777777777777777,F,,data,0.9713977334052887
159,20,3.5,M,,data,0.5396654074473827
160,297,4.4713804713804715,M,,data,8.014031300593633
161,107,4.121495327102804,F,,data,2.887209929843497
162,514,2.1828793774319064,M,,data,13.869400971397733
163,26,4.384615384615385,F,,data,0.7015650296815974
164,110,3.981818181818182,M,,data,2.9681597409606044
165,410,3.6878048780487807,M,,data,11.063140852671344
166,58,2.9310344827586206,F,,data,1.5650296815974094
167,26,3.8461538461538463,F,,data,0.7015650296815974
168,552,3.5670289855072466,M,,data,14.894765245547761
169,87,3.9885057471264367,M,,data,2.3475445223961144
170,24,4.0,F,,data,0.6475984889368591
171,23,3.608695652173913,M,,data,0.62061521856449
172,561,3.9679144385026737,M,,data,15.137614678899084
173,97,3.649484536082474,M,,data,2.617377226119806
174,317,3.9810725552050474,F,,data,8.553696708041015
175,78,3.6153846153846154,F,,data,2.1046950890447924
