inner_id,num_rating,num_rating_q,avg_rating,avg_rating_q,beta,access_type,access
1619,36,"(19.999, 44.0]",3.9444444444444446,"(3.735, 4.0]",2.0,baseline,1.7999999999999998
1647,149,"(96.0, 208.0]",3.442953020134228,"(1.014, 3.444]",2.0,baseline,36.199999999999996
1683,62,"(44.0, 96.0]",4.032258064516129,"(4.0, 4.963]",2.0,baseline,27.400000000000002
1700,552,"(208.0, 2314.0]",3.5543478260869565,"(3.444, 3.735]",2.0,baseline,33.4
1705,210,"(208.0, 2314.0]",3.8,"(3.735, 4.0]",2.0,baseline,28.4
1716,424,"(208.0, 2314.0]",3.8160377358490565,"(3.735, 4.0]",2.0,baseline,2.6
1724,36,"(19.999, 44.0]",3.75,"(3.735, 4.0]",2.0,baseline,27.400000000000002
1734,77,"(44.0, 96.0]",3.2337662337662336,"(1.014, 3.444]",2.0,baseline,29.799999999999997
1747,589,"(208.0, 2314.0]",3.4906621392190154,"(3.444, 3.735]",2.0,baseline,35.6
1762,26,"(19.999, 44.0]",3.769230769230769,"(3.735, 4.0]",2.0,baseline,33.2
1763,613,"(208.0, 2314.0]",4.091353996737357,"(4.0, 4.963]",2.0,baseline,36.8
1798,91,"(44.0, 96.0]",3.5164835164835164,"(3.444, 3.735]",2.0,baseline,24.8
1825,57,"(44.0, 96.0]",3.5964912280701755,"(3.444, 3.735]",2.0,baseline,36.199999999999996
1850,504,"(208.0, 2314.0]",2.6984126984126986,"(1.014, 3.444]",2.0,baseline,37.8
1919,601,"(208.0, 2314.0]",3.3860232945091515,"(1.014, 3.444]",2.0,baseline,36.8
1948,102,"(96.0, 208.0]",4.176470588235294,"(4.0, 4.963]",2.0,baseline,33.4
1966,24,"(19.999, 44.0]",3.5416666666666665,"(3.444, 3.735]",2.0,baseline,0.4
1991,92,"(44.0, 96.0]",2.9239130434782608,"(1.014, 3.444]",2.0,baseline,36.8
1994,86,"(44.0, 96.0]",3.895348837209302,"(3.735, 4.0]",2.0,baseline,34.2
1998,87,"(44.0, 96.0]",3.8160919540229883,"(3.735, 4.0]",2.0,baseline,24.8
2004,90,"(44.0, 96.0]",2.7222222222222223,"(1.014, 3.444]",2.0,baseline,0.2
2052,25,"(19.999, 44.0]",3.4,"(1.014, 3.444]",2.0,baseline,4.8
2058,253,"(208.0, 2314.0]",3.549407114624506,"(3.444, 3.735]",2.0,baseline,3.2
2080,49,"(44.0, 96.0]",3.122448979591837,"(1.014, 3.444]",2.0,baseline,34.4
2085,30,"(19.999, 44.0]",3.7,"(3.444, 3.735]",2.0,baseline,2.4
2103,53,"(44.0, 96.0]",3.0943396226415096,"(1.014, 3.444]",2.0,baseline,0.8
2127,20,"(19.999, 44.0]",3.75,"(3.735, 4.0]",2.0,baseline,29.2
2204,509,"(208.0, 2314.0]",3.076620825147348,"(1.014, 3.444]",2.0,baseline,35.8
2206,21,"(19.999, 44.0]",4.238095238095238,"(4.0, 4.963]",2.0,baseline,8.0
2232,207,"(96.0, 208.0]",3.3381642512077296,"(1.014, 3.444]",2.0,baseline,30.2
2239,99,"(96.0, 208.0]",4.282828282828283,"(4.0, 4.963]",2.0,baseline,23.799999999999997
2240,128,"(96.0, 208.0]",4.25,"(4.0, 4.963]",2.0,baseline,34.0
2250,413,"(208.0, 2314.0]",3.6610169491525424,"(3.444, 3.735]",2.0,baseline,33.0
2257,358,"(208.0, 2314.0]",3.446927374301676,"(3.444, 3.735]",2.0,baseline,36.6
2308,173,"(96.0, 208.0]",3.514450867052023,"(3.444, 3.735]",2.0,baseline,32.800000000000004
2313,35,"(19.999, 44.0]",3.1142857142857143,"(1.014, 3.444]",2.0,baseline,0.4
2343,188,"(96.0, 208.0]",3.4414893617021276,"(1.014, 3.444]",2.0,baseline,35.8
2356,29,"(19.999, 44.0]",3.9310344827586206,"(3.735, 4.0]",2.0,baseline,0.2
2364,47,"(44.0, 96.0]",4.191489361702128,"(4.0, 4.963]",2.0,baseline,26.6
2413,232,"(208.0, 2314.0]",4.1594827586206895,"(4.0, 4.963]",2.0,baseline,31.2
2427,83,"(44.0, 96.0]",3.674698795180723,"(3.444, 3.735]",2.0,baseline,0.4
2432,34,"(19.999, 44.0]",3.6470588235294117,"(3.444, 3.735]",2.0,baseline,3.2
2444,244,"(208.0, 2314.0]",3.5368852459016393,"(3.444, 3.735]",2.0,baseline,29.2
2447,73,"(44.0, 96.0]",3.8767123287671232,"(3.735, 4.0]",2.0,baseline,36.4
2469,23,"(19.999, 44.0]",3.347826086956522,"(1.014, 3.444]",2.0,baseline,17.0
2478,33,"(19.999, 44.0]",3.8484848484848486,"(3.735, 4.0]",2.0,baseline,3.5999999999999996
2481,38,"(19.999, 44.0]",3.5,"(3.444, 3.735]",2.0,baseline,1.2
2484,246,"(208.0, 2314.0]",3.6707317073170733,"(3.444, 3.735]",2.0,baseline,40.6
2515,22,"(19.999, 44.0]",3.772727272727273,"(3.735, 4.0]",2.0,baseline,5.4
2545,118,"(96.0, 208.0]",3.3220338983050848,"(1.014, 3.444]",2.0,baseline,10.6
2562,27,"(19.999, 44.0]",2.962962962962963,"(1.014, 3.444]",2.0,baseline,36.4
2563,120,"(96.0, 208.0]",3.775,"(3.735, 4.0]",2.0,baseline,39.800000000000004
2575,276,"(208.0, 2314.0]",3.0833333333333335,"(1.014, 3.444]",2.0,baseline,31.2
2583,20,"(19.999, 44.0]",3.7,"(3.444, 3.735]",2.0,baseline,0.2
2637,521,"(208.0, 2314.0]",3.103646833013436,"(1.014, 3.444]",2.0,baseline,34.8
2649,49,"(44.0, 96.0]",3.7346938775510203,"(3.444, 3.735]",2.0,baseline,1.4000000000000001
2653,100,"(96.0, 208.0]",4.08,"(4.0, 4.963]",2.0,baseline,24.2
2676,38,"(19.999, 44.0]",3.710526315789474,"(3.444, 3.735]",2.0,baseline,0.8
2691,134,"(96.0, 208.0]",3.8208955223880596,"(3.735, 4.0]",2.0,baseline,6.2
2702,92,"(44.0, 96.0]",3.6847826086956523,"(3.444, 3.735]",2.0,baseline,28.199999999999996
2703,48,"(44.0, 96.0]",4.041666666666667,"(4.0, 4.963]",2.0,baseline,31.6
2710,38,"(19.999, 44.0]",2.5,"(1.014, 3.444]",2.0,baseline,30.4
2724,35,"(19.999, 44.0]",3.6285714285714286,"(3.444, 3.735]",2.0,baseline,30.8
2743,138,"(96.0, 208.0]",1.3043478260869565,"(1.014, 3.444]",2.0,baseline,27.0
2746,139,"(96.0, 208.0]",4.302158273381295,"(4.0, 4.963]",2.0,baseline,32.0
2750,178,"(96.0, 208.0]",3.4269662921348316,"(1.014, 3.444]",2.0,baseline,27.800000000000004
2765,102,"(96.0, 208.0]",4.137254901960785,"(4.0, 4.963]",2.0,baseline,14.799999999999999
2769,47,"(44.0, 96.0]",4.1063829787234045,"(4.0, 4.963]",2.0,baseline,2.1999999999999997
2771,178,"(96.0, 208.0]",3.6741573033707864,"(3.444, 3.735]",2.0,baseline,35.8
2776,875,"(208.0, 2314.0]",3.498285714285714,"(3.444, 3.735]",2.0,baseline,35.199999999999996
2782,54,"(44.0, 96.0]",3.9074074074074074,"(3.735, 4.0]",2.0,baseline,16.8
2803,171,"(96.0, 208.0]",3.888888888888889,"(3.735, 4.0]",2.0,baseline,34.599999999999994
2807,139,"(96.0, 208.0]",4.115107913669065,"(4.0, 4.963]",2.0,baseline,18.8
2850,33,"(19.999, 44.0]",3.5757575757575757,"(3.444, 3.735]",2.0,baseline,12.6
2865,205,"(96.0, 208.0]",3.351219512195122,"(1.014, 3.444]",2.0,baseline,28.599999999999998
2897,109,"(96.0, 208.0]",3.871559633027523,"(3.735, 4.0]",2.0,baseline,38.6
2902,146,"(96.0, 208.0]",4.089041095890411,"(4.0, 4.963]",2.0,baseline,37.2
2953,36,"(19.999, 44.0]",3.9444444444444446,"(3.735, 4.0]",2.0,baseline,1.0
2971,169,"(96.0, 208.0]",3.497041420118343,"(3.444, 3.735]",2.0,baseline,18.8
2982,55,"(44.0, 96.0]",4.363636363636363,"(4.0, 4.963]",2.0,baseline,3.4000000000000004
3012,467,"(208.0, 2314.0]",3.4539614561027836,"(3.444, 3.735]",2.0,baseline,33.0
3034,80,"(44.0, 96.0]",3.8125,"(3.735, 4.0]",2.0,baseline,7.000000000000001
3037,118,"(96.0, 208.0]",4.0423728813559325,"(4.0, 4.963]",2.0,baseline,1.2
3053,526,"(208.0, 2314.0]",3.5076045627376424,"(3.444, 3.735]",2.0,baseline,30.599999999999998
3059,37,"(19.999, 44.0]",3.5675675675675675,"(3.444, 3.735]",2.0,baseline,35.0
3067,21,"(19.999, 44.0]",3.761904761904762,"(3.735, 4.0]",2.0,baseline,1.6
3078,86,"(44.0, 96.0]",3.883720930232558,"(3.735, 4.0]",2.0,baseline,36.199999999999996
3096,63,"(44.0, 96.0]",3.634920634920635,"(3.444, 3.735]",2.0,baseline,1.6
3109,300,"(208.0, 2314.0]",3.6033333333333335,"(3.444, 3.735]",2.0,baseline,30.8
3112,50,"(44.0, 96.0]",3.68,"(3.444, 3.735]",2.0,baseline,0.8
3160,71,"(44.0, 96.0]",4.140845070422535,"(4.0, 4.963]",2.0,baseline,25.6
3172,95,"(44.0, 96.0]",4.168421052631579,"(4.0, 4.963]",2.0,baseline,25.4
3190,406,"(208.0, 2314.0]",3.147783251231527,"(1.014, 3.444]",2.0,baseline,37.8
3192,190,"(96.0, 208.0]",3.1473684210526316,"(1.014, 3.444]",2.0,baseline,32.800000000000004
3223,1115,"(208.0, 2314.0]",3.7928251121076233,"(3.735, 4.0]",2.0,baseline,34.2
3247,84,"(44.0, 96.0]",3.5476190476190474,"(3.444, 3.735]",2.0,baseline,28.599999999999998
3274,21,"(19.999, 44.0]",3.4761904761904763,"(3.444, 3.735]",2.0,baseline,0.6
3283,41,"(19.999, 44.0]",4.2926829268292686,"(4.0, 4.963]",2.0,baseline,25.0
3290,20,"(19.999, 44.0]",3.75,"(3.735, 4.0]",2.0,baseline,17.8
3307,708,"(208.0, 2314.0]",3.189265536723164,"(1.014, 3.444]",2.0,baseline,4.0
3324,26,"(19.999, 44.0]",2.4615384615384617,"(1.014, 3.444]",2.0,baseline,5.800000000000001
3340,151,"(96.0, 208.0]",3.9602649006622515,"(3.735, 4.0]",2.0,baseline,1.2
3379,453,"(208.0, 2314.0]",3.752759381898455,"(3.735, 4.0]",2.0,baseline,33.4
3412,127,"(96.0, 208.0]",4.110236220472441,"(4.0, 4.963]",2.0,baseline,31.8
3432,88,"(44.0, 96.0]",3.022727272727273,"(1.014, 3.444]",2.0,baseline,33.2
3458,29,"(19.999, 44.0]",3.793103448275862,"(3.735, 4.0]",2.0,baseline,19.0
3460,37,"(19.999, 44.0]",4.702702702702703,"(4.0, 4.963]",2.0,baseline,31.8
3465,37,"(19.999, 44.0]",4.162162162162162,"(4.0, 4.963]",2.0,baseline,5.6000000000000005
3501,33,"(19.999, 44.0]",4.393939393939394,"(4.0, 4.963]",2.0,baseline,19.400000000000002
3512,311,"(208.0, 2314.0]",3.4083601286173635,"(1.014, 3.444]",2.0,baseline,32.800000000000004
3561,683,"(208.0, 2314.0]",3.38506588579795,"(1.014, 3.444]",2.0,baseline,38.2
3568,437,"(208.0, 2314.0]",2.9016018306636155,"(1.014, 3.444]",2.0,baseline,31.8
3585,163,"(96.0, 208.0]",3.361963190184049,"(1.014, 3.444]",2.0,baseline,4.0
3609,696,"(208.0, 2314.0]",2.3333333333333335,"(1.014, 3.444]",2.0,baseline,18.2
3620,379,"(208.0, 2314.0]",3.113456464379947,"(1.014, 3.444]",2.0,baseline,25.4
3624,202,"(96.0, 208.0]",3.282178217821782,"(1.014, 3.444]",2.0,baseline,36.4
3633,23,"(19.999, 44.0]",3.0869565217391304,"(1.014, 3.444]",2.0,baseline,3.4000000000000004
3651,289,"(208.0, 2314.0]",3.4290657439446366,"(1.014, 3.444]",2.0,baseline,40.2
3653,282,"(208.0, 2314.0]",3.3085106382978724,"(1.014, 3.444]",2.0,baseline,33.4
3689,401,"(208.0, 2314.0]",2.9301745635910224,"(1.014, 3.444]",2.0,baseline,36.4
3695,150,"(96.0, 208.0]",3.94,"(3.735, 4.0]",2.0,baseline,33.0
3705,78,"(44.0, 96.0]",4.115384615384615,"(4.0, 4.963]",2.0,baseline,2.1999999999999997
3706,51,"(44.0, 96.0]",3.823529411764706,"(3.735, 4.0]",2.0,baseline,22.2
3718,36,"(19.999, 44.0]",3.8055555555555554,"(3.735, 4.0]",2.0,baseline,8.200000000000001
3735,125,"(96.0, 208.0]",3.568,"(3.444, 3.735]",2.0,baseline,35.0
3769,266,"(208.0, 2314.0]",4.003759398496241,"(4.0, 4.963]",2.0,baseline,29.799999999999997
3774,93,"(44.0, 96.0]",3.806451612903226,"(3.735, 4.0]",2.0,baseline,30.0
3785,63,"(44.0, 96.0]",4.031746031746032,"(4.0, 4.963]",2.0,baseline,20.0
3815,318,"(208.0, 2314.0]",3.9371069182389937,"(3.735, 4.0]",2.0,baseline,28.999999999999996
3832,312,"(208.0, 2314.0]",3.6698717948717947,"(3.444, 3.735]",2.0,baseline,34.8
3888,133,"(96.0, 208.0]",4.293233082706767,"(4.0, 4.963]",2.0,baseline,34.2
3939,492,"(208.0, 2314.0]",3.680894308943089,"(3.444, 3.735]",2.0,baseline,31.2
3952,234,"(208.0, 2314.0]",3.6153846153846154,"(3.444, 3.735]",2.0,baseline,34.599999999999994
3966,446,"(208.0, 2314.0]",2.7219730941704037,"(1.014, 3.444]",2.0,baseline,34.8
3968,20,"(19.999, 44.0]",3.5,"(3.444, 3.735]",2.0,baseline,1.2
4064,21,"(19.999, 44.0]",4.190476190476191,"(4.0, 4.963]",2.0,baseline,1.7999999999999998
4104,64,"(44.0, 96.0]",2.734375,"(1.014, 3.444]",2.0,baseline,33.2
4135,39,"(19.999, 44.0]",4.512820512820513,"(4.0, 4.963]",2.0,baseline,3.0
4154,62,"(44.0, 96.0]",3.596774193548387,"(3.444, 3.735]",2.0,baseline,2.8000000000000003
4177,20,"(19.999, 44.0]",3.75,"(3.735, 4.0]",2.0,baseline,12.8
4185,640,"(208.0, 2314.0]",2.8328125,"(1.014, 3.444]",2.0,baseline,36.4
4229,21,"(19.999, 44.0]",3.9523809523809526,"(3.735, 4.0]",2.0,baseline,0.2
4252,338,"(208.0, 2314.0]",3.4171597633136095,"(1.014, 3.444]",2.0,baseline,31.8
4253,24,"(19.999, 44.0]",4.416666666666667,"(4.0, 4.963]",2.0,baseline,22.8
4259,324,"(208.0, 2314.0]",3.1450617283950617,"(1.014, 3.444]",2.0,baseline,37.6
4269,24,"(19.999, 44.0]",3.4583333333333335,"(3.444, 3.735]",2.0,baseline,30.0
4275,82,"(44.0, 96.0]",3.7804878048780486,"(3.735, 4.0]",2.0,baseline,36.8
4312,96,"(44.0, 96.0]",4.083333333333333,"(4.0, 4.963]",2.0,baseline,30.8
4315,39,"(19.999, 44.0]",3.4871794871794872,"(3.444, 3.735]",2.0,baseline,22.0
4318,51,"(44.0, 96.0]",3.8627450980392157,"(3.735, 4.0]",2.0,baseline,15.2
4319,81,"(44.0, 96.0]",4.2592592592592595,"(4.0, 4.963]",2.0,baseline,36.4
4354,51,"(44.0, 96.0]",3.4901960784313726,"(3.444, 3.735]",2.0,baseline,9.8
4356,43,"(19.999, 44.0]",4.209302325581396,"(4.0, 4.963]",2.0,baseline,0.6
4416,110,"(96.0, 208.0]",3.7181818181818183,"(3.444, 3.735]",2.0,baseline,31.2
4419,50,"(44.0, 96.0]",3.96,"(3.735, 4.0]",2.0,baseline,5.6000000000000005
4422,42,"(19.999, 44.0]",4.214285714285714,"(4.0, 4.963]",2.0,baseline,34.2
4446,982,"(208.0, 2314.0]",3.0733197556008145,"(1.014, 3.444]",2.0,baseline,36.8
4447,1014,"(208.0, 2314.0]",4.176528599605523,"(4.0, 4.963]",2.0,baseline,36.4
4510,147,"(96.0, 208.0]",4.183673469387755,"(4.0, 4.963]",2.0,baseline,39.0
4529,56,"(44.0, 96.0]",3.607142857142857,"(3.444, 3.735]",2.0,baseline,35.199999999999996
4539,69,"(44.0, 96.0]",3.710144927536232,"(3.444, 3.735]",2.0,baseline,28.799999999999997
4547,21,"(19.999, 44.0]",3.0,"(1.014, 3.444]",2.0,baseline,33.0
4582,27,"(19.999, 44.0]",3.6666666666666665,"(3.444, 3.735]",2.0,baseline,0.6
4613,21,"(19.999, 44.0]",3.9523809523809526,"(3.735, 4.0]",2.0,baseline,10.6
4632,81,"(44.0, 96.0]",3.9753086419753085,"(3.735, 4.0]",2.0,baseline,0.0
4637,37,"(19.999, 44.0]",2.891891891891892,"(1.014, 3.444]",2.0,baseline,11.200000000000001
4706,41,"(19.999, 44.0]",3.292682926829268,"(1.014, 3.444]",2.0,baseline,1.0
4742,30,"(19.999, 44.0]",4.1,"(4.0, 4.963]",2.0,baseline,12.6
4769,33,"(19.999, 44.0]",3.6666666666666665,"(3.444, 3.735]",2.0,baseline,23.200000000000003
4773,194,"(96.0, 208.0]",4.283505154639175,"(4.0, 4.963]",2.0,baseline,15.2
4781,117,"(96.0, 208.0]",3.700854700854701,"(3.444, 3.735]",2.0,baseline,22.0
4787,303,"(208.0, 2314.0]",3.363036303630363,"(1.014, 3.444]",2.0,baseline,39.6
4795,341,"(208.0, 2314.0]",3.6099706744868034,"(3.444, 3.735]",2.0,baseline,35.0
4796,57,"(44.0, 96.0]",4.017543859649122,"(4.0, 4.963]",2.0,baseline,0.8
4798,58,"(44.0, 96.0]",3.7413793103448274,"(3.735, 4.0]",2.0,baseline,37.4
4801,640,"(208.0, 2314.0]",4.0703125,"(4.0, 4.963]",2.0,baseline,31.8
4838,23,"(19.999, 44.0]",3.0434782608695654,"(1.014, 3.444]",2.0,baseline,0.2
4914,107,"(96.0, 208.0]",3.6261682242990654,"(3.444, 3.735]",2.0,baseline,24.6
4919,50,"(44.0, 96.0]",4.06,"(4.0, 4.963]",2.0,baseline,0.8
4944,144,"(96.0, 208.0]",3.8125,"(3.735, 4.0]",2.0,baseline,41.8
4945,257,"(208.0, 2314.0]",3.7976653696498053,"(3.735, 4.0]",2.0,baseline,28.799999999999997
4984,152,"(96.0, 208.0]",3.7960526315789473,"(3.735, 4.0]",2.0,baseline,39.4
5016,39,"(19.999, 44.0]",4.128205128205129,"(4.0, 4.963]",2.0,baseline,33.6
5019,109,"(96.0, 208.0]",3.761467889908257,"(3.735, 4.0]",2.0,baseline,2.0
5020,185,"(96.0, 208.0]",3.3675675675675674,"(1.014, 3.444]",2.0,baseline,31.4
5030,61,"(44.0, 96.0]",4.131147540983607,"(4.0, 4.963]",2.0,baseline,22.0
5032,48,"(44.0, 96.0]",4.395833333333333,"(4.0, 4.963]",2.0,baseline,36.4
5074,58,"(44.0, 96.0]",4.258620689655173,"(4.0, 4.963]",2.0,baseline,0.0
